state_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,3444354.0,3497000.0,3540000.0,3581000.0,3628000.0,3680000.0,3737000.0,3783000.0,3834000.0,3869000.0,3894025.0,3918533.0,3925263.0,3934100.0,3951824.0,3972520.0,3991569.0,4015262.0,4023842.0,4030219.0,4048508.0,4091025.0,4139269.0,4193114.0,4232965.0,4262731.0,4290403.0,4320281.0,4351037.0,4369862.0,4451849.0,4464034.0,4472420.0,4490591.0,4512190.0,4545049.0,4597688.0,4637904.0,4677464.0,4708708.0,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871
Alaska,302583.0,316000.0,326000.0,333000.0,345000.0,371000.0,393000.0,397000.0,402000.0,403000.0,401851.0,418493.0,449606.0,488418.0,513704.0,532496.0,544269.0,539310.0,541984.0,547160.0,553120.0,569273.0,587073.0,596993.0,600624.0,601345.0,604918.0,608846.0,615205.0,619500.0,627499.0,633316.0,642691.0,650884.0,661569.0,669488.0,677325.0,682297.0,688125.0,698473.0,713906,722038,730399,737045,736307,737547,741504,739786,737438
Arizona,1775399.0,1896000.0,2009000.0,2125000.0,2224000.0,2286000.0,2348000.0,2427000.0,2518000.0,2639000.0,2716546.0,2810108.0,2889860.0,2968924.0,3067134.0,3183539.0,3308261.0,3437103.0,3535183.0,3622184.0,3679056.0,3762394.0,3867333.0,3993390.0,4147561.0,4306908.0,4432308.0,4552207.0,4667277.0,4778332.0,5166697.0,5304417.0,5452108.0,5591206.0,5759425.0,5974834.0,6192100.0,6362241.0,6499377.0,6595778.0,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
Arkansas,1923322.0,1972000.0,2018000.0,2058000.0,2100000.0,2158000.0,2169000.0,2207000.0,2241000.0,2269000.0,2286358.0,2293204.0,2294254.0,2305766.0,2319767.0,2327046.0,2331988.0,2342357.0,2342655.0,2346354.0,2354343.0,2370666.0,2394098.0,2423743.0,2450605.0,2480121.0,2504858.0,2524007.0,2538202.0,2551373.0,2678288.0,2691068.0,2704732.0,2722291.0,2746161.0,2776221.0,2815097.0,2842194.0,2867764.0,2889450.0,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825
California,19971071.0,20346000.0,20585000.0,20868000.0,21173000.0,21537000.0,21934000.0,22350000.0,22839000.0,23255000.0,23667764.0,24285933.0,24820007.0,25360023.0,25844397.0,26441107.0,27102238.0,27777160.0,28464250.0,29218165.0,29950111.0,30414114.0,30875920.0,31147208.0,31317179.0,31493525.0,31780829.0,32217708.0,32682794.0,33145121.0,33994571.0,34485623.0,34876194.0,35251107.0,35558419.0,35795255.0,35979208.0,36226122.0,36580371.0,36961664.0,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045
Colorado,2209596.0,2303000.0,2405000.0,2496000.0,2541000.0,2586000.0,2632000.0,2696000.0,2767000.0,2849000.0,2889735.0,2977899.0,3061562.0,3133634.0,3169995.0,3208726.0,3237448.0,3260477.0,3262280.0,3275815.0,3303862.0,3367567.0,3459995.0,3560884.0,3653910.0,3738061.0,3812716.0,3891293.0,3968967.0,4056133.0,4328070.0,4433068.0,4504265.0,4548775.0,4599681.0,4660780.0,4753044.0,4842259.0,4935213.0,5024748.0,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564
Connecticut,3032217.0,3061000.0,3070000.0,3069000.0,3076000.0,3085000.0,3086000.0,3089000.0,3095000.0,3100000.0,3107564.0,3128837.0,3139014.0,3162355.0,3180014.0,3201131.0,3223741.0,3247290.0,3271954.0,3283404.0,3289056.0,3288640.0,3274997.0,3272325.0,3268346.0,3265293.0,3267030.0,3268514.0,3272563.0,3282031.0,3411726.0,3428433.0,3448382.0,3467673.0,3474610.0,3477416.0,3485162.0,3488633.0,3502932.0,3518288.0,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665
Delaware,548104.0,565000.0,574000.0,579000.0,583000.0,589000.0,593000.0,595000.0,598000.0,599000.0,594338.0,595974.0,599148.0,605459.0,611565.0,618279.0,627559.0,636946.0,647621.0,658274.0,669063.0,680495.0,690158.0,699475.0,708416.0,718265.0,727090.0,735024.0,744066.0,753538.0,786411.0,794620.0,804131.0,814905.0,826639.0,839906.0,853022.0,864896.0,876211.0,885122.0,899595,907316,915188,923638,932596,941413,949216,957078,967171
Florida,6791418.0,7163000.0,7520000.0,7927000.0,8317000.0,8542000.0,8695000.0,8889000.0,9132000.0,9471000.0,9746959.0,10192775.0,10471405.0,10749849.0,11039925.0,11351120.0,11667503.0,11997282.0,12306400.0,12637718.0,13018365.0,13289497.0,13504775.0,13713593.0,13961798.0,14185403.0,14426911.0,14683350.0,14908230.0,15111244.0,16047118.0,16353869.0,16680309.0,16981183.0,17375259.0,17783868.0,18088505.0,18277888.0,18423878.0,18537969.0,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325
Georgia,4587930.0,4710000.0,4807000.0,4907000.0,4995000.0,5058000.0,5126000.0,5212000.0,5286000.0,5391000.0,5462989.0,5568346.0,5649788.0,5728248.0,5834943.0,5962639.0,6084645.0,6208479.0,6316139.0,6411117.0,6506531.0,6621279.0,6759474.0,6894092.0,7045900.0,7188538.0,7332225.0,7486094.0,7636522.0,7788240.0,8230161.0,8419594.0,8585535.0,8735259.0,8913676.0,9097428.0,9330086.0,9533761.0,9697838.0,9829211.0,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475
Hawaii,769913.0,801000.0,828000.0,851000.0,867000.0,884000.0,902000.0,916000.0,929000.0,950000.0,964691.0,978195.0,993780.0,1012717.0,1027922.0,1039698.0,1051762.0,1067917.0,1079827.0,1094588.0,1112703.0,1131412.0,1149926.0,1161508.0,1173903.0,1180490.0,1184434.0,1189322.0,1190472.0,1185497.0,1211566.0,1218305.0,1228069.0,1239298.0,1252782.0,1266117.0,1275599.0,1276832.0,1287481.0,1295178.0,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491
Idaho,713015.0,739000.0,763000.0,782000.0,808000.0,832000.0,857000.0,883000.0,911000.0,933000.0,944127.0,962204.0,973719.0,981866.0,990841.0,994052.0,990222.0,984997.0,985661.0,994422.0,1011882.0,1038915.0,1066490.0,1101204.0,1135459.0,1165000.0,1187706.0,1210638.0,1230923.0,1251700.0,1299551.0,1321170.0,1342149.0,1364109.0,1391718.0,1425862.0,1464413.0,1499245.0,1527506.0,1545801.0,1570773,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208
Illinois,11110288.0,11206000.0,11258000.0,11260000.0,11274000.0,11306000.0,11360000.0,11406000.0,11434000.0,11423000.0,11427429.0,11443461.0,11423413.0,11408817.0,11412128.0,11399803.0,11387256.0,11391176.0,11390186.0,11409782.0,11446979.0,11535973.0,11635197.0,11725984.0,11804986.0,11884935.0,11953003.0,12011509.0,12069774.0,12128370.0,12437645.0,12507833.0,12558229.0,12597981.0,12645295.0,12674452.0,12718011.0,12779417.0,12842954.0,12910409.0,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080
